
P1_elbow_lP1_whole_dist_traveled	P1_shoulder_lP1_whole_dist_traveled	P1_headP1_whole_dist_traveled	P1_hand_lP1_whole_dist_traveled	P1_hand_rP1_whole_dist_traveled	P1_elbow_rP1_whole_dist_traveled	P1_shoulder_rP1_whole_dist_traveled
135.046	78.789	429.078	511.190	480.315	116.110	68.337
135.372	79.137	433.055	516.443	485.024	116.415	68.608
135.760	79.461	436.867	521.801	489.849	116.747	68.939
136.134	79.721	440.617	527.307	494.713	117.094	69.183
136.489	80.005	444.305	532.990	499.613	117.716	69.647
136.879	80.264	447.834	538.735	504.726	118.096	69.901
137.327	80.540	451.204	544.444	509.967	118.488	69.901
137.806	80.896	454.541	550.042	515.733	118.896	70.142
138.287	81.442	457.733	555.675	521.464	119.390	70.142
138.809	82.230	460.844	561.301	527.053	119.865	70.142
139.264	82.590	463.884	567.024	532.469	120.253	70.443
139.744	82.935	466.801	572.742	537.795	120.615	70.443
140.232	83.293	469.545	578.326	542.995	120.909	70.762
140.736	83.648	472.234	583.613	547.875	121.203	71.505
141.575	84.062	474.837	588.711	552.594	121.482	71.505
142.286	84.580	477.224	593.757	557.042	121.733	71.765
142.690	85.017	479.524	598.648	561.202	121.985	71.765
143.065	85.448	481.709	603.435	564.960	122.312	72.044
143.437	85.858	483.793	608.322	568.610	122.770	72.253
143.875	86.206	485.790	612.941	572.195	122.770	72.478
144.223	86.509	487.717	617.204	575.777	123.173	72.732
144.514	86.773	489.563	621.303	579.375	123.529	73.033
144.742	87.018	491.308	625.482	582.628	123.945	73.386
144.943	87.240	493.088	629.789	586.342	124.306	73.745
144.943	87.240	494.640	633.785	589.986	124.646	74.117
145.332	87.629	496.176	637.575	593.608	125.072	74.473
145.583	87.830	497.677	641.064	596.893	125.440	74.815
145.831	88.083	499.018	644.176	600.064	125.757	75.134
145.831	88.321	500.303	646.751	602.901	126.052	75.459
146.116	88.571	501.508	649.022	605.084	126.277	75.818
146.116	88.828	502.662	650.995	607.342	126.277	76.203
146.116	89.079	503.755	652.757	609.398	126.534	76.603
146.437	89.341	504.771	654.201	611.118	126.534	77.009
146.437	89.630	505.764	655.700	612.771	126.853	77.370
146.829	90.027	506.689	656.853	614.043	126.853	77.672
147.109	90.397	507.569	657.557	615.194	126.853	78.048
147.426	90.768	508.410	658.148	615.824	127.079	78.457
147.744	91.166	509.185	658.802	616.304	127.079	78.775
148.113	91.455	510.004	659.462	616.715	127.476	79.046
148.559	91.770	510.735	660.316	617.130	127.476	79.299
149.036	92.036	511.361	661.180	617.718	127.853	79.552
149.563	92.287	512.053	662.274	618.398	127.853	79.760
150.074	92.520	512.792	663.697	619.357	128.173	79.760
150.603	92.805	513.460	665.097	620.547	128.173	80.139
151.121	93.178	514.075	666.793	621.698	128.443	80.340
151.745	93.682	514.694	668.372	622.910	128.443	80.340
152.375	94.123	515.310	670.214	624.324	128.705	80.668
152.992	94.545	515.864	671.872	625.588	128.705	80.668
153.550	94.928	516.344	673.427	626.940	128.705	80.898
154.101	95.348	516.798	674.967	628.446	128.928	80.898
154.552	95.838	517.215	676.339	629.908	128.928	80.898
154.966	96.337	517.628	677.805	631.550	129.162	81.163
155.270	96.807	517.988	679.321	633.191	129.162	81.163
155.510	97.281	518.298	680.774	634.955	129.530	81.163
