Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z	RHand_X	RHand_Y	RHand_Z
83.073	56.873	48.036	170.812	159.479	219.743	214.384	68.893	227.247
84.418	57.470	48.537	172.552	159.479	220.134	215.770	69.871	227.247
85.849	58.149	49.180	174.136	159.479	220.376	216.981	70.892	227.668
87.369	58.922	49.841	175.880	159.479	220.675	217.944	71.774	227.668
89.020	59.625	50.548	177.648	159.801	220.985	218.903	72.644	227.918
90.676	60.224	51.506	179.270	159.801	221.298	219.796	73.564	227.918
92.425	60.869	52.329	180.883	160.125	221.298	220.701	74.694	228.406
94.133	61.505	53.140	182.519	160.125	221.574	221.470	75.674	228.737
95.833	62.098	54.043	184.181	160.460	221.574	222.326	76.602	229.011
97.545	62.673	54.874	185.772	160.460	221.574	223.104	77.330	229.011
99.277	63.207	55.736	187.601	160.783	221.839	224.018	78.376	229.315
100.942	63.735	56.576	189.424	160.783	221.839	224.674	79.157	229.315
102.702	64.227	57.498	191.234	160.783	221.839	225.469	80.069	229.620
104.469	64.660	58.329	193.095	161.045	222.164	226.154	80.815	229.620
106.298	65.108	59.279	194.837	161.270	222.469	227.022	81.625	230.125
108.175	65.519	60.234	196.542	161.270	222.756	227.932	82.435	230.544
110.099	65.909	61.191	198.278	161.717	223.109	228.885	83.352	230.975
112.117	66.294	62.344	199.951	162.011	223.405	229.697	84.076	231.333
114.295	66.680	63.423	201.549	162.397	223.691	230.723	84.905	231.781
116.410	67.073	64.611	203.076	162.810	223.901	231.699	85.682	232.211
118.692	67.517	65.871	204.328	163.278	224.177	232.647	86.647	232.590
121.026	68.027	67.198	205.597	163.811	224.481	233.356	87.494	232.912
123.346	68.608	68.601	206.544	164.309	224.852	234.062	88.445	233.321
125.760	69.297	70.014	207.506	164.826	225.223	234.607	89.197	233.754
128.235	69.943	71.606	208.223	165.442	225.539	234.978	90.076	234.245
130.691	70.704	73.240	208.579	165.989	225.784	234.978	90.810	234.646
133.179	71.447	74.847	208.579	166.503	225.988	234.978	91.300	234.967
135.657	72.090	76.516	208.579	167.048	225.988	234.978	91.625	234.967
138.094	72.710	78.194	208.579	167.600	226.339	235.345	91.853	234.967
140.498	73.279	79.850	208.794	168.099	226.561	235.806	91.853	234.967
142.881	73.707	81.547	208.794	168.579	226.877	236.372	91.853	235.193
145.254	74.138	83.323	209.070	169.115	227.224	236.784	91.853	235.420
147.581	74.570	85.063	209.070	169.754	227.692	237.208	91.853	235.681
149.749	75.266	87.003	209.070	170.315	227.692	237.617	91.853	235.906
152.090	75.820	88.883	209.070	170.684	227.933	238.008	92.262	236.171
154.368	76.413	90.707	209.378	171.045	227.933	238.400	92.494	236.171
156.593	77.107	92.649	209.600	171.426	227.933	238.668	92.753	236.560
158.744	77.819	94.458	209.911	171.764	227.933	238.905	93.005	236.560
160.827	78.717	96.186	210.231	172.103	228.270	239.117	93.005	236.886
162.849	79.610	97.936	210.569	172.515	228.270	239.353	93.338	236.886
164.818	80.513	99.687	210.883	173.064	228.270	239.610	93.338	237.150
166.706	81.584	101.441	211.213	173.634	228.563	239.945	93.541	237.150
168.633	82.612	103.163	211.513	174.190	228.563	240.269	93.541	237.150
170.482	83.634	104.901	211.761	174.708	228.563	240.647	93.838	237.361
172.369	84.683	106.654	211.974	175.323	228.563	241.074	93.838	237.361
174.204	85.863	108.456	212.211	175.957	228.563	241.633	94.185	237.361
176.076	86.996	110.305	212.211	176.568	228.563	242.223	94.388	237.361
177.972	88.122	112.219	212.494	177.217	228.563	242.735	94.674	237.660
179.902	89.256	114.207	212.494	177.965	228.773	243.435	94.970	237.660
181.809	90.463	116.371	212.494	178.723	229.010	243.996	95.313	238.132
183.791	91.565	118.585	212.793	179.567	229.283	244.638	95.786	238.471
185.664	92.538	120.764	213.098	180.500	229.630	245.182	96.254	238.778
187.509	93.395	122.933	213.337	181.318	229.939	245.498	96.834	239.165
189.304	94.186	124.971	213.643	182.191	230.257	246.344	97.241	239.165
191.073	94.926	126.991	214.115	183.060	230.524	246.687	98.110	239.497
192.684	95.428	129.034	214.677	183.891	230.770	246.979	98.510	239.497
194.344	96.017	130.918	215.345	184.621	230.770	247.496	98.510	239.497
195.951	96.471	132.773	215.973	185.269	231.012	247.963	98.776	239.497
197.631	96.960	134.601	216.514	185.793	231.012	248.477	98.776	239.742
199.126	97.400	136.354	216.961	186.238	231.012	248.998	98.776	239.983
200.619	97.872	137.990	217.349	186.641	231.012	249.485	98.979	240.314
202.019	98.262	139.499	217.349	186.641	231.012	249.971	99.244	240.603
203.384	98.824	141.110	217.762	186.641	231.218	250.412	99.508	240.870
204.632	99.278	142.559	217.762	186.995	231.218	250.760	99.720	241.165
205.832	99.892	143.949	217.762	186.995	231.494	251.102	99.720	241.423
207.026	100.502	145.347	217.762	187.440	231.494	251.463	100.090	241.662
208.079	101.191	146.590	217.762	187.440	231.781	251.874	100.090	241.662
209.049	101.994	147.750	217.762	187.783	231.781	252.232	100.090	241.662
209.981	102.575	148.951	218.101	187.783	231.993	252.707	100.658	241.662
210.969	103.303	150.032	218.101	188.175	231.993	253.042	100.658	241.662
211.788	103.935	151.093	218.389	188.408	231.993	253.421	100.881	241.662
212.651	104.679	152.088	218.389	188.684	231.993	253.894	100.881	241.662
213.483	105.286	153.200	218.603	189.005	231.993	254.267	100.881	241.662
214.328	105.943	154.277	218.603	189.337	231.993	254.589	101.111	241.662
215.216	106.504	155.323	218.603	189.728	231.993	254.950	101.111	241.907
216.106	106.980	156.462	218.603	190.207	232.245	255.369	101.111	241.907
216.962	107.434	157.551	218.603	190.740	232.245	255.847	101.111	241.907
217.850	107.963	158.740	218.603	191.312	232.714	256.206	101.111	241.907
218.658	108.370	160.000	218.603	191.869	232.962	256.481	101.111	241.907
219.541	108.840	161.238	218.875	192.439	233.236	256.723	101.111	241.907
220.472	109.355	162.485	218.875	193.000	233.488	256.723	101.111	241.907
221.217	109.807	163.925	219.124	193.453	233.488	257.055	101.111	242.150
221.437	110.399	165.737	219.124	193.790	233.488	257.055	101.111	242.150
222.248	110.995	167.058	219.486	194.021	233.488	257.055	101.111	242.405
223.051	111.442	168.457	219.726	194.021	233.488	257.355	101.111	242.405
223.872	111.835	169.652	220.022	194.359	233.756	257.355	101.382	242.620
224.545	112.302	170.932	220.022	194.359	234.022	257.605	101.382	242.620
225.088	112.672	171.975	220.340	194.646	234.259	257.605	101.636	242.620
225.659	113.001	172.924	220.340	194.646	234.461	257.863	101.636	242.836
226.170	113.203	173.685	220.622	194.922	234.461	257.863	101.901	242.836
226.567	113.203	174.348	220.622	194.922	234.768	258.088	101.901	242.836
226.804	113.495	174.835	220.622	194.922	234.768	258.088	102.141	242.836
227.048	113.495	175.132	220.622	194.922	235.024	258.088	102.141	242.836
227.048	113.495	175.132	220.622	194.922	235.024	258.088	102.141	243.055
227.251	113.707	175.132	220.902	194.922	235.291	258.088	102.141	243.055
227.251	113.707	175.132	221.204	194.922	235.291	258.088	102.141	243.350
227.251	114.200	175.437	221.482	194.922	235.518	258.088	102.409	243.350
227.251	114.506	175.698	221.744	195.194	235.518	258.088	102.409	243.606
227.251	114.796	175.960	222.014	195.194	235.721	258.088	102.682	243.606
227.542	115.093	176.274	222.287	195.507	235.721	258.088	102.895	243.857
227.769	115.374	176.676	222.594	195.722	236.110	258.088	103.134	243.857
228.039	115.740	177.251	222.830	196.014	236.376	258.088	103.394	244.216
228.305	116.090	177.815	222.830	196.355	236.724	258.088	103.731	244.421
228.655	116.404	178.489	223.144	196.722	237.041	258.088	104.110	244.645
229.114	116.786	179.265	223.144	197.133	237.318	258.088	104.543	244.906
229.641	117.092	180.067	223.144	197.521	237.588	258.088	105.023	245.201
230.107	117.491	180.896	223.498	197.956	237.871	258.088	105.555	245.504
230.583	117.807	181.880	223.498	198.425	238.154	258.088	106.169	245.864
231.198	118.149	182.833	223.952	198.889	238.530	258.088	106.751	246.238
