P1_hand_lP1_hands_pos_X	P1_hand_lP1_hands_pos_Y	P1_hand_lP1_hands_pos_Z	P1_hand_rP1_hands_pos_X	P1_hand_rP1_hands_pos_Y	P1_hand_rP1_hands_pos_Z
50.724	164.650	950.623	88.446	38.250	956.870
50.225	163.380	950.767	87.629	37.415	957.749
49.732	162.060	951.172	86.683	36.507	958.738
49.047	160.894	951.857	85.760	35.656	959.794
48.313	159.881	952.596	84.717	34.768	960.906
47.463	158.936	953.428	83.400	33.785	961.942
46.575	158.153	954.403	82.024	32.832	963.139
45.653	157.385	955.242	80.812	31.985	964.262
44.634	156.630	956.223	79.458	31.094	965.291
43.579	155.895	957.256	78.207	30.336	966.246
42.435	155.163	958.479	76.903	29.538	967.212
41.407	154.624	959.720	75.421	28.773	968.116
40.237	154.077	960.948	73.919	27.925	969.107
39.005	153.594	962.127	72.361	27.232	970.184
37.927	153.186	963.333	70.723	26.430	971.390
36.566	152.785	964.462	69.037	25.676	972.511
35.253	152.356	965.552	67.321	24.827	973.731
33.889	151.946	966.519	65.586	23.977	974.874
32.570	151.592	967.511	63.989	23.029	975.929
31.377	151.121	968.384	62.354	22.292	976.952
30.126	150.677	969.192	60.474	21.787	977.841
28.872	150.136	970.005	59.223	21.028	978.898
27.629	149.477	970.701	58.219	20.158	979.647
26.410	148.828	971.510	56.884	19.447	980.446
25.130	148.232	972.298	55.563	18.881	981.182
23.666	147.612	973.168	54.304	18.278	981.969
22.243	147.167	974.289	52.876	17.544	982.761
20.604	146.680	975.436	51.524	16.807	983.729
18.916	146.399	976.902	50.044	15.900	984.681
17.134	146.152	978.328	48.603	15.018	985.697
15.524	145.917	979.558	47.038	13.962	986.730
13.676	145.691	980.906	45.452	12.889	987.751
11.827	145.558	982.155	43.953	11.835	988.787
10.027	145.306	983.427	42.398	10.678	989.872
8.087	145.082	984.705	40.969	9.378	990.927
6.110	144.973	985.923	39.523	7.879	992.014
4.014	144.795	987.098	38.435	6.405	993.162
1.751	144.981	988.757	37.182	4.789	994.198
0.271	144.488	989.296	36.063	3.054	995.124
-1.581	144.327	990.200	35.115	1.577	996.232
-3.532	144.181	991.147	34.279	0.081	997.257
-5.499	144.128	992.096	33.614	-1.617	998.155
-7.218	144.157	992.962	32.968	-3.206	999.149
-8.646	144.274	993.662	32.449	-4.778	1000.062
-9.921	144.581	994.523	31.872	-6.378	1001.192
-10.918	144.815	995.224	31.294	-8.316	1002.301
-11.680	145.061	995.938	30.718	-10.140	1003.422
-12.359	145.240	996.629	30.146	-12.018	1004.508
-12.877	145.315	997.309	29.496	-13.932	1005.640
-13.297	145.259	998.053	29.080	-15.750	1006.862
-13.450	145.018	998.819	28.435	-17.304	1007.727
-13.394	144.557	999.492	28.013	-18.968	1008.792
-13.226	143.793	1000.089	27.683	-20.212	1009.533
-12.887	142.678	1000.505	27.489	-21.203	1010.116
-12.457	141.510	1000.965	27.386	-21.805	1010.620
-11.772	140.283	1001.232	27.454	-21.862	1010.855
-11.522	139.084	1001.418	27.608	-21.508	1010.846
